Location,Total Traditional Medicare Part A and/or Part B Enrollees,Total Medicare Part A and/or Part B Persons With Utilization,Total Medicare Part A and/or Part B Program Payments,Total Traditional Medicare Part A Enrollees,Total Medicare Part A Persons With Utilization,Total Medicare Part A Program Payments,Total Traditional Medicare Part B Enrollees,Total Medicare Part B Persons With Utilization,Total Medicare Part B Program Payments
North Carolina,"1,211,374","1,127,223",11509131271,"1,204,158","222,101","$5,357,476,281 ","1,087,720","1,107,381","$6,151,654,990 "
North Dakota,"107,585","116,399",1099897566,"107,105","20,795","$498,905,191 ","96,696","115,359","$600,992,375 "
Ohio,"1,279,364","1,191,510",12635838200,"1,277,170","271,632","$6,604,399,512 ","1,107,552","1,164,857","$6,031,438,688 "
Oklahoma,"563,270","511,296",6010045357,"562,977","114,487","$2,981,726,515 ","497,770","501,897","$3,028,318,842 "
Oregon,"468,657","403,410",3747603176,"468,069","72,558","$1,755,929,718 ","398,624","388,985","$1,991,673,458 "
Pennsylvania,"1,539,899","1,387,848",14960055489,"1,529,870","299,964","$7,487,555,593 ","1,311,302","1,356,311","$7,472,499,896 "
Rhode Island,"117,503","100,944",1036952666,"115,499","21,895","$535,791,913 ","93,739","97,964","$501,160,753 "
South Carolina,"737,889","694,460",7056023681,"733,086","130,576","$3,185,871,929 ","671,177","683,122","$3,870,151,751 "
South Dakota,"138,706","147,487",1399289522,"138,642","26,835","$644,782,473 ","124,383","146,018","$754,507,048 "
Tennessee,"796,822","733,637",7534129947,"794,290","155,330","$3,555,182,833 ","700,566","716,982","$3,978,947,113 "
Texas,"2,456,124","2,146,129",27728440114,"2,451,508","489,114","$14,059,338,784 ","2,086,698","2,090,657","$13,669,101,330 "
Utah,"248,849","220,232",2199404207,"245,923","43,523","$1,010,458,795 ","210,962","213,558","$1,188,945,412 "
Vermont,"129,452","116,578",1053842764,"129,377","18,550","$504,645,268 ","116,688","115,552","$549,197,496 "
Virginia,"1,157,274","1,035,503",10107656076,"1,152,243","193,315","$4,669,499,873 ","1,006,421","1,018,350","$5,438,156,203 "
Washington,"888,912","765,969",7097901626,"887,229","127,122","$3,254,581,444 ","762,390","750,677","$3,843,320,181 "
West Virginia,"275,122","264,747",2641805364,"274,963","55,731","$1,337,367,751 ","246,110","260,121","$1,304,437,614 "
Wisconsin,"645,403","633,297",6001145137,"645,123","125,327","$2,987,781,972 ","568,436","620,340","$3,013,363,165 "
Wyoming,"108,216","97,380",964578646,"108,082","15,739","$444,159,931 ","99,246","96,755","$520,418,715 "
,,,,,,,,,
Notes,,,,,,,,,
"The ‘persons with utilization' counts do not reflect beneficiaries who received covered services, but for whom no program payments were reported. Counts and amounts may not sum to totals because of rounding.  The counts also do not sum to totals because beneficiaries may have used both Part A and Part B services during the reported year.",,,,,,,,,
,,,,,,,,,
Sources,,,,,,,,,
"Centers for Medicare & Medicaid Services, Office of Enterprise Data and Analytics, Chronic Conditions Data Warehouse.",,,,,,,,,
